objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,credit,exhibitionlabel,onview
Courant_19030527,Courant_19030527.jpg,,,Household Furniture Auction,Hartford Courtant,27-May-03,,Economic; Industry; Printing,,,,,Newspapers.com,Courant_19030527,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Accessed and Clipped from Newspapers.com in 2024,,
CSL_PG400-01,CSL_PG400-01.jpg,,,Central Row,Unknown,late 1800s,,Cultural; Arts; Visual Arts; Photogrpahy; Economic; Business; Consumer; Transportation,,"Central Row, Hartford, Connecticut",41.76584964,-72.67258251,Connecticut State Library http://hdl.handle.net/11134/30002:720096122,CSL_PG400-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Connecticut State Library, Hartford Collection of Photographs PG 400","Central Row, Hartford, Late 1800s",
CSL_sa_20120323_01_0045,CSL_sa_20120323_01_0045.jpg,,,"Case, Lockwood & Brainard Co. Building",William H. Lockwood,March 1880,"The Case, Lockwood & Brainard Co. Building which was located at the intersection of Pearl Street and Trumbull Street at 141 Pearl Street.",Economic; Industry; Printing; Cultural; Arts; Visual Arts; Photogrpahy; environmental; Climate/weather,Newton Case;  Leverett Brainard; James Lockwood; James Mumford; Patrick Carr; Charles Lynch; Emil Eitel; Charles E. Beebe; John Coughlin; M. Day; Ernest Miller; Ernest Mason; W.J. Parker; T. Coleman,"Corrner of Pearl & Trumbull, Hartford, Connecticut",41.76635,-72.67592,Connecticut State Library; http://hdl.handle.net/11134/30002:22192180,CSL_sa_20120323_01_0045,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Connecticut State Library,,
DTC-001-Bike,DTC-001-Bike.jpg,,,Samuel Clemens on Bicycle.,,,,Cultural; Arts; Visual Arts; Drawing; Sports & Recreaction; Athletics; Leisure,,,,,Dave Thomson Collection,DTC-001-Bike,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Dave Thomson Collection,Samuel Clemens on Bicycle. Composite photo from the Dave Thomson collection.,
GROO_AristFriendsRom_2023-01,GROO_AristFriendsRom_2023-01.jpg,,,Artist's Friends Room,John Groo,2023,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_AristFriendsRom_2023-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_Billiard_2023-01,GROO_Billiard_2023-01.jpg,,,Billiard Room,John Groo,2023,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Billiard_2023-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_Billiard_Restoration-01,GROO_Billiard_Restoration-01.jpg,,,Billiard room restoration,John Groo,,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Billiard_Restoration-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_BultersPantry_2011-01,GROO_BultersPantry_2011-01.jpg,,,Butler's Pantry,John Groo,2011,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_BultersPantry_2011-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_CarriageHouse_2023-01,GROO_CarriageHouse_2023-01.jpg,,,Carriage House,John Groo,2023,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO-_CarriageHouse_2023-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_ClemensBedroom_2023-01,GROO_ClemensBedroom_2023-01.jpg,,,Clemens Bedroom,John Groo,2023,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_ClemensBedroom_2023-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_Conservatory_2011-01,GROO_Conservatory_2011-01.jpg,,,Conservatory,John Groo,2011,,,John,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Conservatory_2011-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_Dining_2011-01,GROO_Dining_2011-01.jpg,,,Dining Room,John Groo,2011,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Dining_2011-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_Drawing_2023-01,GROO_Drawing_2023-01.jpg,,,Drawing Room,John Groo,2023,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Drawing_2023-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_FrontHall_2023-01,GROO_FrontHall_2023-01.jpg,,,Front Hall,John Groo,2023,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_FrontHall_2023-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_FrontHall_Cleaning,GROO_FrontHall_Cleaning.jpg,,,Front Hall Marble Floor,John Groo,2000s,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_FrontHall_Cleaning,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_Kitchen_2011-01,GROO_Kitchen_2011-01.jpg,,,Kitchen,John Groo,2011,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Kitchen_2011-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_LangdonBedroom_2011-01,GROO_LangdonBedroom_2011-01.jpg,,,Langdon Bedroom,John Groo,2011,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_LangdonBedroom_2011-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_Library_2011-01,GROO_Library_2011-01.jpg,,,Library,John Groo,2011,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Library_2011-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_Mahogany_Bathroom_2016-01,GROO_Mahogany_Bathroom_2016-01.jpg,,,Installation of the bathtub,John Groo,2016,,Restoration,Craig Ayotte; John Goo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Mahogany_Bathroom_2016-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,"Craig Ayotte, Site Supervisor for Downes Construction, reinstalls the original mahogany tub surround.",
GROO_Mahogany_Bathroom_2016-02,GROO_Mahogany_Bathroom_2016-02.jpg,,,Measuring the Water Closet,John Groo,2016,,Restoration,Craig Ayotte; Jared Fraioli; John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Mahogany_Bathroom_2016-02,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,"Craig Ayotte and Jared Fraioli, carpenter for Downes Construction, measure the unvarnished water closet cabinet and tank to ensure a perfect fit.",
GROO_Mahogany_Bathroom_2016-03,GROO_Mahogany_Bathroom_2016-03.jpg,,,Decorative Bracket,John Groo,2016,,Restoration,John Groo; David Scott Parker,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Mahogany_Bathroom_2016-03,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,David Scott Parker holds one of the decorative brackets that will be used to hold the water closet tank.,
GROO_Mahogany_Bedroom_2016-01,GROO_Mahogany_Bedroom_2016-01.jpg,,,Color Swatches,John Groo,2016,,Restoration,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Mahogany_Bedroom_2016-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,"The color swatches, which have been chosen for the Mahogany Bedroom cornices, correlate to the paint drips found on the Clemenses� subfloor.",
GROO_Mahogany_Bedroom_2016-02,GROO_Mahogany_Bedroom_2016-02.JPG,,,Mahogany Room restoration,John Groo,2016,,Restoration,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Mahogany_Bedroom_2016-02,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_Mahogany_Bedroom_2016-04,GROO_Mahogany_Bedroom_2016-04.jpg,,,Rolling Out the Paste,John Groo,2016,,Restoration,John Groo; John Canning,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Mahogany_Bedroom_2016-04,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,John Canning applies wallpaper paste to the back of the �Honeycomb� canvas.,
GROO_Mahogany_Bedroom_2023-01,GROO_Mahogany_Bedroom_2023-01.jpg,,,Mahogany Suite,John Groo,2023,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Mahogany_Bedroom_2023-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_Mahogany_Dressing_2023-01,GROO_Mahogany_Dressing_2023-01.jpg,,,Mahogany Suite Dressing Room,John Groo,2023,,Restoration,John Groo; Clara Clemens,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Mahogany_Dressing_2023-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,"Clara Clemens Samossoud remembered the dressing room as the warmest place in the house, thanks to the gas fireplace with a ceramic tile surround.",
GROO_MTH_Exterior_2023-01,GROO_MTH_Exterior_2023-01.jpg,,,Mark Twain House,John Groo,2023,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_MTH_Exterior_2023-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_Nursery_2011-01-Detail,GROO_Nursery_2011-01-Detail.jpg,,,Schoolroom detail by Frederic Schweppe,John Groo,2011,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Nursery_2011-01-Detail,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_Nursery_2023-01,GROO_Nursery_2023-01.jpg,,,Nursery,John Groo,2023,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Nursery_2023-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_Nursery_2023-02,GROO_Nursery_2023-02.jpg,,,Nursery Wallpaper by Walter Crane,John Groo,2023,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Nursery_2023-02,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_Schoolroom-2023-01,GROO_Schoolroom-2023-01.jpg,,,Schoolroom,John Groo,2023,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Schoolroom-2023-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_ServantsHall_2005-01,GROO_ServantsHall_2005-01.jpg,,,Servants Hall,John Groo,2005,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_ServantsHall_2005-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_SusyBedroom-2023-01,GROO_SusyBedroom-2023-01.jpg,,,Susy's Bedroom,John Groo,2023,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_SusyBedroom-2023-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_VisitorCenter_2011-01,GROO_VisitorCenter_2011-01.jpg,,,Visitor Center,John Groo,2011,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_VisitorCenter_2011-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_VisitorCenter_2011-02,GROO_VisitorCenter_2011-02.jpg,,,Visitor Center for The Mark Twain House & Museum,John Groo,2011,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_VisitorCenter_2011-02,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
GROO_Window_2011-01,GROO_Window_2011-01.jpg,,,2nd floor hallway window,John Groo,2011,,,John Groo,"351 Farmington Ave, Hartford, Connecticut ",41.76705545,-72.70141583,The Mark Twain House and Museum,GROO_Window_2011-01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo.,,
HBSC-0535-img0094-pcd,HBSC-0535-img0094-pcd.jpg,,,Grace King,,1896,,,,,,,"The Ladies Home Journal, September 1896. XIII No. 10.",HBSC-0535-img0094-pcd,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Image from The Ladies Home Journal, September 1896. XIII No. 10.",,
HBSC-KSC1925,HBSC-KSC1925.jpg,,,Katharine Seymour Day,Unknown Photographer,1925,,,,,,,Harriet Beecher Stowe Center,HBSC-KSC1925,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Courtesy of the Harriet Beecher Stowe Center,"Katharine Seymour Day, the hero of Nook Farm, stands in the garden behind the Harriet Beecher Stowe house. The Mark Twain House can be seen in the background. Day had a vision of a literary center uniting the great writers of Nook farm: her great-aunt, Harriet Beecher Stowe; Samuel Clemens, and Charles Dudley Warner.",
HPHS_1883-1887,HPHS_1883-1887.jpg,,,Hartford Public High School,,1883,,,,,,,"Courtesy of Hartford Public High School Museum and Archive, Hartford, CT",HPHS_1883-1887,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Courtesy of Hartford Public High School Museum and Archive, Hartford, CT",,
hpl_hhc_cp_a75,hpl_hhc_cp_a75.jpg,,,"View of Bushnell Park, State Capitol, and Park River",Unknown,1925,"Aerial view of Bushnell Park, looking south toward the State Capitol. The Armory building is in the upper left. The Park River is in the foreground. The stepping stone bridge, spanning the river, is visible in the lower right. The Corning Fountain is slightly left of center.",Cultural; Arts; Visual Arts; Photography; Environmental; Built Environment; Architecture; Landscape Architecture; Political,,,,,Hartford History Center http://hdl.handle.net/11134/50002:14551,hpl_hhc_cp_a75,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Hartford History Center, Hartford Public Library, City Parks Collection",,
hpl_hhc_cp_gn_h216,hpl_hhc_cp_gn_h216.jpg,,,"State Street, City Hall Market, Hartford",Unknown,1900-1930,"View of City Hall Market, State Street, Hartford",Cultural; Arts; Visual Arts; Photography; Economic; Business; Consumer; Industry; Labor; Grocer;,,"State House Square, Hartford, Connecticut",41.76647725,-72.67232611,Hartford History Center http://hdl.handle.net/11134/50002:747,hpl_hhc_cp_gn_h216,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Hartford History Center, Hartford Public Library, City Parks Collection",,
