objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,credit,exhibitionlabel
2749-76-010,yes,,,Untitled (Detail of Stone Windows in the Billiards Room of Mark Twain's Hartford House),Wilson H. Faude,9/12/1974,,Culture; Arts; Visual Arts; Etching; Environment; Built Environment; Buildings/Architecture,Wilson H. Faude,,41.76705545,-72.70141583,The Mark Twain House & Museum,2749.76.010,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Wilson H. Faude","Artist proof 2/5 etchings of thestone windows in the billiards room in Mark Twain House by Wilson H. Faude made for the Mark twian Memorial on September 12, 1974"
2749-76-011,yes,,,Unitlted (Detail of Inkwell on Mark Twain's Desk at his Hartford House),Wilson H. Faude,9/12/1974,,Culture; Arts; Visual Arts; Etching; Environment; Built Environment; Buildings/Architecture,Wilson H. Faude,,41.76705545,-72.70141583,The Mark Twain House & Museum,2749.76.011,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Wilson H. Faude","Artist proof 2/5 etchings of the ink well on the desk in the billiards room in Mark Twain House by Wilson H. Faude made for the Mark twian Memorial on September 12, 1974"
2nd-floor-hallway-window-Groo-2011,2nd-floor-hallway-window-Groo-2011.jpg,,,2nd floor hallway window,John Groo,2011,,,,,,,The Mark Twain House & Museum,2nd floor hallway window Groo 2011,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. ,
359-67,,,,A Tramp Abroad,Mark Twain; Pub. American Pubishing,1880,"Copy of A Tramp Abroad. Dark green cover featuring cold embossed title with image of man hiking. Spine Features diferent image of man hiking, but is still gold embossed and also has gold embossed title, author, and publisher. Book is 9"" x 6 1/2"" x 1 2/3"". Including apendix, book is 631 pages. Features an advertisement for ""The Innocents Abroad"" at the end. Has one blank name plate sticker on inside of front cover, and one on inside of 1st fly with ""Gift of Mrs. Carl Jenson"" written on it. Frontice image is detaching, seems to be ripping away. ",Cultural;Arts;Writing;Econimic;Industry;Printing,Samuel L. Clemens,,,,Mark Twain House and Museum,359.67,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House & Museum, Gift of Mrs. Carol Jenson",
359-67_ID-01,359.67_ID-01,,,The Author's Memories,True Williams,c.1880,,,,,,,359.67_ID-01,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,,
371-32S979,371.32S979.jpg,,,"Outlines of the World's History Ancient, Medieval and Modern",William Swinton ,1874,,,,,,,The Mark Twain House & Museum,371.32S979,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. ,
3856-81,yes,,,1929 Mark Twain Memorial Commission Incorporation Act from the State of Connecticut ,State of Connecticut,1929,,Economic; Finance; Banking; Political,,,41.76705545,-72.70141583,The Mark Twain House & Museum,3856.81,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain Memorial Institutional Archive ,"Three page State of Connecticut General Assembly Act concerning the incorporation of the Mark Twain Library and Memorial Commission, dated March 7 ,1929"
3868-81,yes,,,Mortgage,,,,Economic; Finance; Banking;,,,41.76705545,-72.70141583,The Mark Twain House & Museum,3868.81,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain Memorial Institutional Archive ,"Original Joint and Several Mortgage Note (No. 1280) for the Mark Twain Memorial from the City Bank and Trust Company in Hartford Company issued May 20 ,1927 for $55,000"
3878-81,,,,Sketches by Mark Twain,Mark Twain; American ,1875,"Copy of Sketches by Mark Twain. Blue cover with gold and black embossing of stars and diamonds with title. Spine has same design with gold embossed title, author, and publisher. Book is 320 pages. Book is 8 3/4"" x 7"" x 1"". Slight wear on outside of spine and corners of cover. ",Cultural;Arts;Writing;Econimic;Industry;Printing,Samuel L. Clemens,,,,Mark Twain House and Museum,3878.81,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House & Museum, Gift of Mrs. Richard  Koopman",
3885-81,yes,,,Hartford Courant Centennial Salute to the Mark Twain House,Hartford Courant,9/8/1975,,Culture; Arts; Visual Arts; Printing; Memory & Commemoration,,,41.76705545,-72.70141583,The Mark Twain House & Museum,3885.81,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of the Beach Estate",Watercolor painting of the Mark Twain House by Kenneth Irwin Dike
4088-84,,,,The Prince and the Pauper,Mark Twain; Pub. James R. Osgood & co.,1881,"Copy of The Prince and the Pauper. Green cover. Gold embossed title and author with gold embossed image of royal items on cover. Black embossed ""medieval"" designs on cover and spine. Spine gold embossed with title, author, and publisher. Cover and spine show wear especially in corners. Book is 8 1/2"" x 7"" x 1"". On second fly inscription reads ""For Donie Sands/ Annie Powell Feb, 27 1882 Remember/ Given to Lucy & Bayne after Annie's death"" Front cover becoming detached. ",Cultural;Arts;Writing;Econimic;Industry;Printing,Samuel L. Clemens; James R. Osgood,,,,Mark Twain House and Museum,4088.84,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House & Museum, Gift of Jerome A. Brussell",
4926-97-182,,,,Backlog Studies,"Charles D Warner, Pub. Houghlin Mifflin",,"Copy of Backlog Studies by Charles Dudley Warner. The book is Brown with a Grecian floral motif and an imbossed image of a cherub. Spine has simmilar motif and gold imbossing. 7"" x 5 1/2"" x 3"" The book is 281 pages. On front fly page is inscribed ""Olivia Susan Clemens Christmans, 1885""",Cultural;Arts;Writing;Econimic;Industry;Printing,Suzy Clemens;Charles D. Warner,,,,Mark Twain House and Museum,4926.97.182,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,The Mark Twain House and Museum collections,
5398-2015,yes,,,"Residence of Mark Twain, Hartford, Conn.",,,,Culture; Arts; Visual Arts; Photography; Environment; Built Environment; Buildings/Architecture,,,41.76705545,-72.70141583,The Mark Twain House & Museum,5398.2015,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Laura Fiore","3.5x5 inch postcard of the Mark Twain House in Hartford, Connecticut."
5450-2016,,,,Practical Information for Telephones,T. D. Lockwood; Pub. W.J. Johnson,,"Copy of Practical Information for Telephonists. Book is 7"" x 5 1/2"" x 1"". Book is 192 pages. Title page is missing. Back fly pages are missing as well. Cover is green, and has simple black frame design with simple abstract floral image in center. Spine has yellow printing of title, author, and publisher. Both sides of cover are worn with spots of damage. The spine has sight damegs, especially to top. Inscription on front fly middle reads ""S L Clemens with the authors compliments""",Cultural;Arts;Writing;Econimic;Industry;Printing,Samuel L. Clemens; T.D Lockwood,,,,Mark Twain House and Museum,5450.2016,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House & Museum, Gift of Jean Cowles",
5481-2017,,,,Adventures of Huckleberry Finn,Mark Twain; Pub. Webster,1885,"Copy of Adventures of Huckleberry Finn (Tom Sawyer's Comrade) Illustrated edition. Green cover, Image of Huckleberry Finn in front of a gold embossed fence. The ""H"" and the ""F"" of his name, as well as ""Mark Twain"" are also gold embossed. Spine features gold embossed title, author, and publisher. Book is 8 1/2"" x 6 3/4"" x 1"". It is 366 pages. The book has some wear. On the back inside cover is an attached advertisement for the illustrator Gustave Dore, and Mark Twain, as well as others. ",Cultural;Arts;Writing;Econimic;Industry;Printing,Samuel L. Clemens,,,,Mark Twain House and Museum,5481.2017,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions.",,"The Mark Twain House & Museum, Gift of Paul Cerza",
5487-2017,,,,Life on The Mississippi,Mark Twain; Pub. James R. Osgood & co.,1883,"Copy of Life On the Mississippi, Illustrated edition. Printed in 1883. Including Apendix, book is 624 pages long. Book measures 9"" x 6 1/2"" x 2"" Book has gold embossed image of man on dock with pipe in top left corner of cover, and black embossed floral motifs arounf front cover. On spine there is gold embossed image of man at boat ship steering wheel and name of book and publisher. Spine has some wear on top and bottom of outside. In middle of fly leaf is inscription ""W.W. Green 932 Main Winsted CT"". Page 223/224 has small tear aprox 2 1/2"" from top on outside of page. Binding loose from page 193-254",Cultural;Arts;Writing;Econimic;Industry;Printing,Samuel L. Clemens; James R. Osgood,,,,Mark Twain House and Museum,5487.2017,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions.",,"The Mark Twain House & Museum, Gift of Paul Cerza",
5890-2024,,,,Wapping Alice,Mark Twain; Pub University of California,,"Copy of ""Wapping Alice"" Soft cover, green paper cover. 9 1/2"" x 7"". Covver is simple with black writing on cover and spine. The cover is faded and worn on edges. On inside of cover is a sticker saying it is from the library of Robert Sutro. ",Cultural;Arts;Writing;Econimic;Industry;Printing,Samuel L. Clemens,,,,Mark Twain House and Museum,5890.2024,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,The Mark Twain House and Museum collections,
5890-2024,Jodi-will-upload-soon,,,Wapping Alice,Samuel Langhorne Clemens (Mark Twain),,,,,,,,5890-2024,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Museum Purchase",,
60-6,,,,Cane,,,"Ivory Dog's Head cane. Total Length 34 1/2"". Handle: 2"". Cane is black with dog head in ivory attached to top. Bottom has metal tip. Is housed in box. ",Cultural;Fashion,,,,,Mark Twain House and Museum,60.6,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House & Museum, Gift of Judge Thomas J. Mollery",
70-13,,,,Church Pledge Envelope,Asylum Hill Church,,"Small Envelope measuring 3 1/4"" x 2"". On the front it is dated November 20, 1881. It is a weekly offering envelope for Asylum Hill Congregational Church. There is a red stamped No. 1 near the bottom. There is a lot of wear on the edges. On the back, it is not sealed, and the left side of the pocket is not glued down. ",Social;Identity;Religion;Economic;Fundraising,Samuel L. Clemens,,,,Mark Twain House and Museum,70.13,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,The Mark Twain House and Museum collections,
703-72,703.72_f_20240804,,,"Salesman's Prospectus for ""The Gilded Age"" ",Samuel L. Clemens; Charles Dudley Warner,1874,,Economic; Industry; Printing; Arts; Cultural; Visual Arts: Writing,Samuel L. Clemens; Charles Dudly Warner; American Publishing Company; Elisha Bliss,"284 Asylum Street, Hartford, CT",41.76778256,-72.67821568,The Mark Twain House & Museum,703.72,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Jonathan Goodwin","This 1874 Salesman's Prospectus is for The Gilded Age by Samuel L. Clemens (Mark Twain) and Charles Dudley Warner, published by Hartford-based firm American Publishing Company owned by Elisha Bliss. The company was to be a subscription-based publishing house, which meant that it sold books from door to door using salesmen. They would put together what was called a “salesmen’s prospectus” which was a thin, condensed version of the actual book with sample chapters, illustrations, and bindings. After the salesmen presented a customer with the prospectus and made their pitch, they could read a chapter or two, ponder over the drawings, and ultimately decide if they wanted to place an order for it. If so, they were able to choose which binding and cover they wanted which ranged in price. This method of sales allowed publishing companies to reach more people who did not necessarily have a bookstore nearby to peruse and purchase from. "
703-72,703.72_b_20240804,,,"Salesman's Prospectus for ""The Gilded Age"" ",Samuel L. Clemens; Charles Dudley Warner,1874,,Economic; Industry; Printing; Arts; Cultural; Visual Arts: Writing,Samuel L. Clemens; Charles Dudly Warner; American Publishing Company; Elisha Bliss,"284 Asylum Street, Hartford, CT",41.76778256,-72.67821568,The Mark Twain House & Museum,703.72,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Jonathan Goodwin","This 1874 Salesman's Prospectus is for The Gilded Age by Samuel L. Clemens (Mark Twain) and Charles Dudley Warner, published by Hartford-based firm American Publishing Company owned by Elisha Bliss. The company was to be a subscription-based publishing house, which meant that it sold books from door to door using salesmen. They would put together what was called a “salesmen’s prospectus” which was a thin, condensed version of the actual book with sample chapters, illustrations, and bindings. After the salesmen presented a customer with the prospectus and made their pitch, they could read a chapter or two, ponder over the drawings, and ultimately decide if they wanted to place an order for it. If so, they were able to choose which binding and cover they wanted which ranged in price. This method of sales allowed publishing companies to reach more people who did not necessarily have a bookstore nearby to peruse and purchase from. "
703-72,703.72_ID-1_20240804,,,"Salesman's Prospectus for ""The Gilded Age"" ",Samuel L. Clemens; Charles Dudley Warner,1874,,Economic; Industry; Printing; Arts; Cultural; Visual Arts: Writing,Samuel L. Clemens; Charles Dudly Warner; American Publishing Company; Elisha Bliss,"284 Asylum Street, Hartford, CT",41.76778256,-72.67821568,The Mark Twain House & Museum,703.72,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Jonathan Goodwin","This 1874 Salesman's Prospectus is for The Gilded Age by Samuel L. Clemens (Mark Twain) and Charles Dudley Warner, published by Hartford-based firm American Publishing Company owned by Elisha Bliss. The company was to be a subscription-based publishing house, which meant that it sold books from door to door using salesmen. They would put together what was called a “salesmen’s prospectus” which was a thin, condensed version of the actual book with sample chapters, illustrations, and bindings. After the salesmen presented a customer with the prospectus and made their pitch, they could read a chapter or two, ponder over the drawings, and ultimately decide if they wanted to place an order for it. If so, they were able to choose which binding and cover they wanted which ranged in price. This method of sales allowed publishing companies to reach more people who did not necessarily have a bookstore nearby to peruse and purchase from. "
703-72,703.72_ID-2_20240804,,,"Salesman's Prospectus for ""The Gilded Age"" ",Samuel L. Clemens; Charles Dudley Warner,1874,,Economic; Industry; Printing; Arts; Cultural; Visual Arts: Writing,Samuel L. Clemens; Charles Dudly Warner; American Publishing Company; Elisha Bliss,"284 Asylum Street, Hartford, CT",41.76778256,-72.67821568,The Mark Twain House & Museum,703.72,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Jonathan Goodwin","This 1874 Salesman's Prospectus is for The Gilded Age by Samuel L. Clemens (Mark Twain) and Charles Dudley Warner, published by Hartford-based firm American Publishing Company owned by Elisha Bliss. The company was to be a subscription-based publishing house, which meant that it sold books from door to door using salesmen. They would put together what was called a “salesmen’s prospectus” which was a thin, condensed version of the actual book with sample chapters, illustrations, and bindings. After the salesmen presented a customer with the prospectus and made their pitch, they could read a chapter or two, ponder over the drawings, and ultimately decide if they wanted to place an order for it. If so, they were able to choose which binding and cover they wanted which ranged in price. This method of sales allowed publishing companies to reach more people who did not necessarily have a bookstore nearby to peruse and purchase from. "
703-72,703.72_ID-3_20240804,,,"Salesman's Prospectus for ""The Gilded Age"" ",Samuel L. Clemens; Charles Dudley Warner,1874,,Economic; Industry; Printing; Arts; Cultural; Visual Arts: Writing,Samuel L. Clemens; Charles Dudly Warner; American Publishing Company; Elisha Bliss,"284 Asylum Street, Hartford, CT",41.76778256,-72.67821568,The Mark Twain House & Museum,703.72,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Jonathan Goodwin","This 1874 Salesman's Prospectus is for The Gilded Age by Samuel L. Clemens (Mark Twain) and Charles Dudley Warner, published by Hartford-based firm American Publishing Company owned by Elisha Bliss. The company was to be a subscription-based publishing house, which meant that it sold books from door to door using salesmen. They would put together what was called a “salesmen’s prospectus” which was a thin, condensed version of the actual book with sample chapters, illustrations, and bindings. After the salesmen presented a customer with the prospectus and made their pitch, they could read a chapter or two, ponder over the drawings, and ultimately decide if they wanted to place an order for it. If so, they were able to choose which binding and cover they wanted which ranged in price. This method of sales allowed publishing companies to reach more people who did not necessarily have a bookstore nearby to peruse and purchase from. "
703-72,703.72_ID-4_20240804,,,"Salesman's Prospectus for ""The Gilded Age"" ",Samuel L. Clemens; Charles Dudley Warner,1874,,Economic; Industry; Printing; Arts; Cultural; Visual Arts: Writing,Samuel L. Clemens; Charles Dudly Warner; American Publishing Company; Elisha Bliss,"284 Asylum Street, Hartford, CT",41.76778256,-72.67821568,The Mark Twain House & Museum,703.72,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Jonathan Goodwin","This 1874 Salesman's Prospectus is for The Gilded Age by Samuel L. Clemens (Mark Twain) and Charles Dudley Warner, published by Hartford-based firm American Publishing Company owned by Elisha Bliss. The company was to be a subscription-based publishing house, which meant that it sold books from door to door using salesmen. They would put together what was called a “salesmen’s prospectus” which was a thin, condensed version of the actual book with sample chapters, illustrations, and bindings. After the salesmen presented a customer with the prospectus and made their pitch, they could read a chapter or two, ponder over the drawings, and ultimately decide if they wanted to place an order for it. If so, they were able to choose which binding and cover they wanted which ranged in price. This method of sales allowed publishing companies to reach more people who did not necessarily have a bookstore nearby to peruse and purchase from. "
703-72,703.72_ID-5_20240804,,,"Salesman's Prospectus for ""The Gilded Age"" ",Samuel L. Clemens; Charles Dudley Warner,1874,,Economic; Industry; Printing; Arts; Cultural; Visual Arts: Writing,Samuel L. Clemens; Charles Dudly Warner; American Publishing Company; Elisha Bliss,"284 Asylum Street, Hartford, CT",41.76778256,-72.67821568,The Mark Twain House & Museum,703.72,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Jonathan Goodwin","This 1874 Salesman's Prospectus is for The Gilded Age by Samuel L. Clemens (Mark Twain) and Charles Dudley Warner, published by Hartford-based firm American Publishing Company owned by Elisha Bliss. The company was to be a subscription-based publishing house, which meant that it sold books from door to door using salesmen. They would put together what was called a “salesmen’s prospectus” which was a thin, condensed version of the actual book with sample chapters, illustrations, and bindings. After the salesmen presented a customer with the prospectus and made their pitch, they could read a chapter or two, ponder over the drawings, and ultimately decide if they wanted to place an order for it. If so, they were able to choose which binding and cover they wanted which ranged in price. This method of sales allowed publishing companies to reach more people who did not necessarily have a bookstore nearby to peruse and purchase from. "
703-72,703.72_ID-6_20240804,,,"Salesman's Prospectus for ""The Gilded Age"" ",Samuel L. Clemens; Charles Dudley Warner,1874,,Economic; Industry; Printing; Arts; Cultural; Visual Arts: Writing,Samuel L. Clemens; Charles Dudly Warner; American Publishing Company; Elisha Bliss,"284 Asylum Street, Hartford, CT",41.76778256,-72.67821568,The Mark Twain House & Museum,703.72,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Jonathan Goodwin","This 1874 Salesman's Prospectus is for The Gilded Age by Samuel L. Clemens (Mark Twain) and Charles Dudley Warner, published by Hartford-based firm American Publishing Company owned by Elisha Bliss. The company was to be a subscription-based publishing house, which meant that it sold books from door to door using salesmen. They would put together what was called a “salesmen’s prospectus” which was a thin, condensed version of the actual book with sample chapters, illustrations, and bindings. After the salesmen presented a customer with the prospectus and made their pitch, they could read a chapter or two, ponder over the drawings, and ultimately decide if they wanted to place an order for it. If so, they were able to choose which binding and cover they wanted which ranged in price. This method of sales allowed publishing companies to reach more people who did not necessarily have a bookstore nearby to peruse and purchase from. "
74-55,,,,Cane,,,"Walking cane made of dark brown polished wood. Label under handle reads, in faded writing, ""Cane with which Mark Twain whipped our telephone."" Including handle, cane is 30 1/2"" long, 2"" circumfrence. Hande is 3 3/4"" long. There is some splitting of the wood along length of handle, and a crack where handle meets the base. There is some wear on bottom of cane. ",Social;Identity,Samuel L. Clemens,,,,Mark Twain House and Museum,74.55,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House & Museum, Gift of Mrs. Alexander McDonald",
753-72,753.72_f_20240804,,,"Salesman's Prospectus for ""Adventures of Huckleberry Finn"" ",Samuel L. Clemens ,1885,,Cultural; Arts; Visual Arts; Photography; Environmental; Built Environment; Buildings/Architecture; Civil Engineering,Samuel L. Clemens; Charles Webster & Company,Corrner of Pearl & Trumbull,41.76635,-72.67592,The Mark Twain House & Museum,753.72,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Jonathan Goodwin",
753-72,753.72_b_20240804,,,"Salesman's Prospectus for ""Adventures of Huckleberry Finn"" ",Samuel L. Clemens ,1885,,Cultural; Arts; Visual Arts; Photography; Environmental; Built Environment; Buildings/Architecture; Civil Engineering,Samuel L. Clemens; Charles Webster & Company,Corrner of Pearl & Trumbull,41.76635,-72.67592,The Mark Twain House & Museum,753.72,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Jonathan Goodwin",
753-72,753.72_ID-1_20240804,,,"Salesman's Prospectus for ""Adventures of Huckleberry Finn"" ",Samuel L. Clemens ,1885,,Cultural; Arts; Visual Arts; Photography; Environmental; Built Environment; Buildings/Architecture; Civil Engineering,Samuel L. Clemens; Charles Webster & Company,Corrner of Pearl & Trumbull,41.76635,-72.67592,The Mark Twain House & Museum,753.72,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Jonathan Goodwin",
753-72,753.72_ID-2_20240804,,,"Salesman's Prospectus for ""Adventures of Huckleberry Finn"" ",Samuel L. Clemens ,1885,,Cultural; Arts; Visual Arts; Photography; Environmental; Built Environment; Buildings/Architecture; Civil Engineering,Samuel L. Clemens; Charles Webster & Company,Corrner of Pearl & Trumbull,41.76635,-72.67592,The Mark Twain House & Museum,753.72,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Jonathan Goodwin",
753-72,753.72_ID-3_20240804,,,"Salesman's Prospectus for ""Adventures of Huckleberry Finn"" ",Samuel L. Clemens ,1885,,Cultural; Arts; Visual Arts; Photography; Environmental; Built Environment; Buildings/Architecture; Civil Engineering,Samuel L. Clemens; Charles Webster & Company,Corrner of Pearl & Trumbull,41.76635,-72.67592,The Mark Twain House & Museum,753.72,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Jonathan Goodwin",
77-13-2,77.13.2_b_20240805,,,Mark Twain Cigar Box,William Graf & Sons co. ,,"Wooden box, 5 1/8 x 4 1/4 x 1 1/2""  of Mark Twain brand cigars. Stickers on all sides, name Mark Twain as well as titles of his books. A sticker over the top and front sides depicts Mark Twain's Face. A similar sticker is on the inside of the hinged top cover. There is a United States Internal Revenue cancelation stamp for 12 cigars form act of March 2nd 1901, series of 1901. Inside along the back wall is red typed text indicating the box was sold at Woodward's in Boston. Box is empty, but shows wear from former cigars. on bottom exterior of box is a notice from factory no. 534 1st district ST of Wisconson. ",Social; Identity; Cultural; Fashion; Clothing; Economic; Manufacturing,Samuel L. Clemens;William Graf,,,,The Mark Twain House & Museum,77.13.2,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House and Museum, Museum Purchase",
77-13-2,77.13.2_d1_20240805,,,Mark Twain Cigar Box,William Graf & Sons co. ,,"Wooden box, 5 1/8 x 4 1/4 x 1 1/2""  of Mark Twain brand cigars. Stickers on all sides, name Mark Twain as well as titles of his books. A sticker over the top and front sides depicts Mark Twain's Face. A similar sticker is on the inside of the hinged top cover. There is a United States Internal Revenue cancelation stamp for 12 cigars form act of March 2nd 1901, series of 1901. Inside along the back wall is red typed text indicating the box was sold at Woodward's in Boston. Box is empty, but shows wear from former cigars. on bottom exterior of box is a notice from factory no. 534 1st district ST of Wisconson. ",Social; Identity; Cultural; Fashion; Clothing; Economic; Manufacturing,Samuel L. Clemens;William Graf,,,,The Mark Twain House & Museum,77.13.2,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House and Museum, Museum Purchase",
